fpr	tpr	task
0.0	0.0	0
0.0	0.022727272727272728	0
0.0	0.5454545454545454	0
0.014705882352941176	0.5454545454545454	0
0.014705882352941176	0.5909090909090909	0
0.029411764705882353	0.5909090909090909	0
0.029411764705882353	0.6818181818181818	0
0.04411764705882353	0.6818181818181818	0
0.04411764705882353	0.7045454545454546	0
0.07352941176470588	0.7045454545454546	0
0.07352941176470588	0.7272727272727273	0
0.08823529411764706	0.7272727272727273	0
0.08823529411764706	0.7727272727272727	0
0.1323529411764706	0.7727272727272727	0
0.1323529411764706	0.8181818181818182	0
0.17647058823529413	0.8181818181818182	0
0.17647058823529413	0.8409090909090909	0
0.19117647058823528	0.8409090909090909	0
0.19117647058823528	0.8636363636363636	0
0.27941176470588236	0.8636363636363636	0
0.27941176470588236	0.8863636363636364	0
0.29411764705882354	0.8863636363636364	0
0.29411764705882354	0.9090909090909091	0
0.39705882352941174	0.9090909090909091	0
0.39705882352941174	0.9318181818181818	0
0.47058823529411764	0.9318181818181818	0
0.47058823529411764	0.9545454545454546	0
0.5441176470588235	0.9545454545454546	0
0.5441176470588235	1.0	0
1.0	1.0	0
0.0	0.0	1
0.012658227848101266	0.0	1
0.02531645569620253	0.0	1
0.02531645569620253	0.030303030303030304	1
0.0379746835443038	0.030303030303030304	1
0.0379746835443038	0.15151515151515152	1
0.05063291139240506	0.15151515151515152	1
0.05063291139240506	0.2727272727272727	1
0.06329113924050633	0.2727272727272727	1
0.06329113924050633	0.3939393939393939	1
0.10126582278481013	0.3939393939393939	1
0.10126582278481013	0.42424242424242425	1
0.11392405063291139	0.42424242424242425	1
0.11392405063291139	0.45454545454545453	1
0.12658227848101267	0.45454545454545453	1
0.12658227848101267	0.5151515151515151	1
0.13924050632911392	0.5151515151515151	1
0.13924050632911392	0.6060606060606061	1
0.16455696202531644	0.6060606060606061	1
0.16455696202531644	0.6363636363636364	1
0.17721518987341772	0.6363636363636364	1
0.17721518987341772	0.6666666666666666	1
0.21518987341772153	0.6666666666666666	1
0.21518987341772153	0.696969696969697	1
0.22784810126582278	0.696969696969697	1
0.22784810126582278	0.7272727272727273	1
0.25316455696202533	0.7272727272727273	1
0.25316455696202533	0.7575757575757576	1
0.3037974683544304	0.7575757575757576	1
0.3037974683544304	0.8484848484848485	1
0.3291139240506329	0.8484848484848485	1
0.3291139240506329	0.8787878787878788	1
0.35443037974683544	0.8787878787878788	1
0.35443037974683544	0.9393939393939394	1
0.4430379746835443	0.9393939393939394	1
0.4430379746835443	0.9696969696969697	1
0.6455696202531646	0.9696969696969697	1
0.6455696202531646	1.0	1
1.0	1.0	1
0.0	0.0	2
0.0	0.02857142857142857	2
0.0	0.34285714285714286	2
0.012987012987012988	0.34285714285714286	2
0.012987012987012988	0.6857142857142857	2
0.025974025974025976	0.6857142857142857	2
0.025974025974025976	0.7142857142857143	2
0.03896103896103896	0.7142857142857143	2
0.03896103896103896	0.7428571428571429	2
0.05194805194805195	0.7428571428571429	2
0.05194805194805195	0.8	2
0.06493506493506493	0.8	2
0.06493506493506493	0.8285714285714286	2
0.22077922077922077	0.8285714285714286	2
0.22077922077922077	0.8571428571428571	2
0.2597402597402597	0.8571428571428571	2
0.2597402597402597	0.8857142857142857	2
0.3116883116883117	0.8857142857142857	2
0.3116883116883117	0.9142857142857143	2
0.36363636363636365	0.9142857142857143	2
0.36363636363636365	0.9714285714285714	2
0.5324675324675324	0.9714285714285714	2
0.5324675324675324	1.0	2
1.0	1.0	2
